"DisplayName","Alias","PrimarySmtpAddress","RecipientTypeDetails","ItemCount","TotalItemSizeMB","DeletedItemCount","TotalDeletedItemSizeMB","WhenCreatedUTC","WhenChangedUTC","LastLogonTime","EmailAddresses","Guid"
"4th Grade","4thGrade_2965ac30-ba43-40ae-9d62-e960d80c9483","4thGrade@M365EDU669627.onmicrosoft.com","GroupMailbox","13","0","0","0","24/06/2025 15:47:00","24/07/2025 23:22:53",,"SPO:SPO_13a52770-81f0-434a-abdb-8c4bfa810213@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:4thGrade@M365EDU669627.onmicrosoft.com","5961870d-89bc-4656-b7ea-74542cc95a95"
"Agile-Bears-2f84","msteams_1db69d_f258745c-1af1-4efc-b618-55c95a5317e4","msteams_1db69d@M365EDU669627.onmicrosoft.com","GroupMailbox","5","0","0","0","09/07/2025 10:45:47","08/08/2025 21:25:37",,"SPO:SPO_da111058-7574-45aa-9639-69d455e5f0fd@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_1db69d@M365EDU669627.onmicrosoft.com","188c3142-a6dd-422c-89f0-631755cfdbbb"
"Algebra","Algebra_8e4297e0-bba5-4403-baa3-e09dc9361c55","Algebra@M365EDU669627.onmicrosoft.com","GroupMailbox","57","1","0","0","24/06/2025 15:40:18","24/07/2025 23:37:27","24/06/2025 19:42:47","SPO:SPO_b6b9fdcb-9229-4046-ba1f-24686a07bd75@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:Algebra@M365EDU669627.onmicrosoft.com","73520e47-4d34-466e-baaa-a08e6896dc73"
"All Company","allcompany_f61f7f5c-3c0d-4019-9679-6716a571fa59","allcompany@M365EDU669627.onmicrosoft.com","GroupMailbox","5","0","0","0","24/06/2025 15:35:04","25/07/2025 13:41:24",,"SPO:SPO_2c0cb494-5c3c-4864-9b2e-5cb1ae64d3e3@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:allcompany@M365EDU669627.onmicrosoft.com","a72ae92d-b60e-40ab-8ad8-3053aa66a5fd"
"Brave-Bears-5e6f","msteams_3d47ec_35a10064-901f-461b-b7b5-fd1a067686a0","msteams_3d47ec@M365EDU669627.onmicrosoft.com","GroupMailbox","10","0","0","0","09/07/2025 10:52:14","10/08/2025 19:35:11",,"SPO:SPO_eae189e4-b6a0-467f-b5bc-2238faffa9b9@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_3d47ec@M365EDU669627.onmicrosoft.com","6c1792fa-ea3f-4239-b4ec-b6734e9a8128"
"Brave-Dragons-846f","msteams_7e0e23_71e441a6-cebc-4623-a15b-4f97965e2867","msteams_7e0e23@M365EDU669627.onmicrosoft.com","GroupMailbox","7","0","0","0","09/07/2025 10:54:20","09/08/2025 08:27:26",,"SPO:SPO_3d8756bb-f5f5-46bd-b46f-abdebcd14b17@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_7e0e23@M365EDU669627.onmicrosoft.com","40caea98-b13c-4418-ad27-b296c1179044"
"Design Research Group","DesignResearchGroup_5631b6a2-83e5-4528-af4e-b67be346b58f","DesignResearchGroup@M365EDU669627.onmicrosoft.com","GroupMailbox","14","0","2","0","24/06/2025 15:42:42","25/07/2025 01:23:56",,"SPO:SPO_1e73025d-5a4f-48e6-88f6-86c6cf29b07e@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:DesignResearchGroup@M365EDU669627.onmicrosoft.com","8187ecb5-16dd-4757-95ed-f376baf296ce"
"Dynamic-Falcons-2e5d","msteams_be93a4_4e640fbf-bbc4-456a-ae20-0a865905053e","msteams_be93a4@M365EDU669627.onmicrosoft.com","GroupMailbox","4","0","0","0","09/07/2025 10:37:43","09/08/2025 06:00:19",,"SPO:SPO_38ad7d45-8265-496d-b55a-e1beb90d3c1e@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_be93a4@M365EDU669627.onmicrosoft.com","65ef051d-6bd0-4ded-addf-47630e4891a7"
"Dynamic-Hawks-58c3","msteams_a41af4_7b33794d-94ab-4880-a085-a30a3f34511b","msteams_a41af4@M365EDU669627.onmicrosoft.com","GroupMailbox","5","0","0","0","09/07/2025 10:33:04","14/08/2025 01:28:33",,"SPO:SPO_e261f61d-4b76-4bee-a934-411d691d1d95@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_a41af4@M365EDU669627.onmicrosoft.com","873c7425-b36a-42c1-b1d2-0c6d34c74afe"
"Dynamic-Lions-bd01","msteams_40ea93_e0544d80-1ead-4f62-b0ae-1ecca81b3505","msteams_40ea93@M365EDU669627.onmicrosoft.com","GroupMailbox","12","0","0","0","09/07/2025 10:53:11","09/08/2025 06:21:25",,"SPO:SPO_26de6615-c5e3-4955-b4db-0e199aee4a29@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_40ea93@M365EDU669627.onmicrosoft.com","0d2451b9-b0ad-4427-84e7-28f1ac8fddf5"
