"GroupId","TeamDisplayName","ChannelID","ChannelDisplayname","Description","MembershipType"
"8e4297e0-bba5-4403-baa3-e09dc9361c55","Algebra","19:1a5928b561484d9893e7b457b91efe4e@thread.tacv2","The bridge",,"Standard"
"8e4297e0-bba5-4403-baa3-e09dc9361c55","Algebra","19:61040b91665b4eb99364b95029defe8d@thread.tacv2","1. Unit One ✈",,"Standard"
"8e4297e0-bba5-4403-baa3-e09dc9361c55","Algebra","19:948e338943ff4511be512b339f6d27e8@thread.tacv2","2. Unit Two 🌈",,"Standard"
"8e4297e0-bba5-4403-baa3-e09dc9361c55","Algebra","19:d696087b588e4016b4738a071b0d1bad@thread.tacv2","Spacewalk",,"Standard"
"8e4297e0-bba5-4403-baa3-e09dc9361c55","Algebra","19:e12d6aea25b34d239933d64ae28f263a@thread.tacv2","3. Homework help 💁‍♀️💁‍♂️",,"Standard"
"35a10064-901f-461b-b7b5-fd1a067686a0","Brave-Bears-5e6f","19:1bc2215a240c4cc5a54df08a3a8f20a7@thread.tacv2","Channel-2","Auto-generated channel 2","Standard"
"35a10064-901f-461b-b7b5-fd1a067686a0","Brave-Bears-5e6f","19:32788878ebbc4c21b1c5b50b7ac3b9c3@thread.tacv2","Channel-1","Auto-generated channel 1","Standard"
"35a10064-901f-461b-b7b5-fd1a067686a0","Brave-Bears-5e6f","19:33bd4feb9f324de0b136644842609248@thread.tacv2","Channel-3","Auto-generated channel 3","Standard"
"35a10064-901f-461b-b7b5-fd1a067686a0","Brave-Bears-5e6f","19:a8b76f5d2d544763817d7c6f576fdc73@thread.tacv2","Channel-4","Auto-generated channel 4","Standard"
"71e441a6-cebc-4623-a15b-4f97965e2867","Brave-Dragons-846f","19:0da0a289c92844f080378f1c71e356d8@thread.tacv2","Channel-4","Auto-generated channel 4","Standard"
"71e441a6-cebc-4623-a15b-4f97965e2867","Brave-Dragons-846f","19:66f90fb5746745aa9e4b4727ae4f6434@thread.tacv2","Channel-1","Auto-generated channel 1","Standard"
