"DisplayName","AccessType","PrimarySmtpAddress","GroupID","SharePointSiteURL"
"4th Grade","Private","4thGrade@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/4thGrade"
"Agile-Bears-2f84","Private","msteams_1db69d@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_1db69d"
"Algebra","Private","Algebra@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/Algebra"
"All Company","Public","allcompany@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/allcompany"
"Brave-Bears-5e6f","Private","msteams_3d47ec@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_3d47ec"
"Brave-Dragons-846f","Private","msteams_7e0e23@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_7e0e23"
"Design Research Group","Private","DesignResearchGroup@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/DesignResearchGroup"
"Dynamic-Falcons-2e5d","Private","msteams_be93a4@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_be93a4"
"Dynamic-Hawks-58c3","Private","msteams_a41af4@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_a41af4"
"Dynamic-Lions-bd01","Private","msteams_40ea93@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_40ea93"
"Dynamic-Sharks-2a33","Private","msteams_e3cfc6@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_e3cfc6"
"Engineering 101","Private","Engineering101@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/Engineering101"
"Epic-Dragons-829a","Private","msteams_525515@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_525515"
"Fierce-Falcons-113c","Private","msteams_dac5e8@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_dac5e8"
"Fierce-Falcons-de05","Private","msteams_d97549@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_d97549"
"Fierce-Hawks-087e","Private","msteams_3e4a11@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_3e4a11"
"Fierce-Tigers-0650","Private","msteams_48ca7a@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_48ca7a"
"Gentle-Dragons-822a","Private","msteams_0fde10@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_0fde10"
"Gentle-Hawks-cb25","Private","msteams_cd24f2@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_cd24f2"
"Gentle-Panthers-b866","Private","msteams_e6a2fb@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_e6a2fb"
"Health Research","Private","HealthResearch@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/HealthResearch"
"Heroic-Sharks-d340","Private","msteams_4b2e62@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_4b2e62"
"Jolly-Dragons-7fcf","Private","msteams_5befbb@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_5befbb"
"Jolly-Eagles-db34","Private","msteams_eda64e@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_eda64e"
"Jolly-Hawks-6652","Private","msteams_7def7f@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_7def7f"
"Jolly-Panthers-7075","Private","msteams_55bf92@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/msteams_55bf92"
"Language Arts","Private","LanguageArts@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/LanguageArts"
"Physical Science","Private","PhysicalScience@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/PhysicalScience"
"Pineview School Staff","Private","PineviewSchoolStaff@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/PineviewSchoolStaff"
"Primary K-3","Private","PrimaryK-3@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/PrimaryK-3"
"Science Department (PLC)","Private","ScienceDepartmentPLC@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/ScienceDepartmentPLC"
"Women in Computer Science","Private","WomeninComputerScience@M365EDU669627.onmicrosoft.com",,"https://m365edu669627.sharepoint.com/sites/WomeninComputerScience"
