"Title","LocaleId","Url","Status","LastContentModifiedDate","Owner","Template","ResourceUsageCurrent","ResourceUsageAverage","StorageUsageCurrentMB","ConditionalAccessPolicy","SensitivityLabel","AllowSelfServiceUpgrade","AllowEditing","SharingAllowedDomainList","SharingBlockedDomainList","DenyAddAndCustomizePages","BlockDownloadLinksFileType","DefaultLinkPermission","DefaultSharingLinkType","DisableAppViews","DisableCompanyWideSharingLinks","DisableFlows","LimitedAccessFileType","LockState","SandboxedCodeActivationCapability","SharingCapability","ShowPeoplePickerSuggestionsForGuestUsers","SharingDomainRestrictionMode","LockIssue","WebsCount","CompatibilityLevel","DisableSharingForNonOwnersStatus","HubSiteId","IsHubSite","RelatedGroupId","GroupId","ORGID"
"4th Grade","1033","https://m365edu669627.sharepoint.com/sites/4thGrade","Active","24/06/2025 20:37:15","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","2965ac30-ba43-40ae-9d62-e960d80c9483","2965ac30-ba43-40ae-9d62-e960d80c9483",
"Agile-Bears-2f84","1033","https://m365edu669627.sharepoint.com/sites/msteams_1db69d","Active","09/07/2025 10:56:40","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","f258745c-1af1-4efc-b618-55c95a5317e4","f258745c-1af1-4efc-b618-55c95a5317e4",
"Algebra","1033","https://m365edu669627.sharepoint.com/sites/Algebra","Active","25/06/2025 04:39:20","","GROUP#0","0","0","51","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","8e4297e0-bba5-4403-baa3-e09dc9361c55","8e4297e0-bba5-4403-baa3-e09dc9361c55",
"All Company","1033","https://m365edu669627.sharepoint.com/sites/allcompany","Active","24/06/2025 15:35:42","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","f61f7f5c-3c0d-4019-9679-6716a571fa59","f61f7f5c-3c0d-4019-9679-6716a571fa59",
"Brave-Bears-5e6f","1033","https://m365edu669627.sharepoint.com/sites/msteams_3d47ec","Active","09/07/2025 10:57:18","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","35a10064-901f-461b-b7b5-fd1a067686a0","35a10064-901f-461b-b7b5-fd1a067686a0",
"Brave-Dragons-846f","1033","https://m365edu669627.sharepoint.com/sites/msteams_7e0e23","Active","09/07/2025 10:57:20","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","71e441a6-cebc-4623-a15b-4f97965e2867","71e441a6-cebc-4623-a15b-4f97965e2867",
"Design Research Group","1033","https://m365edu669627.sharepoint.com/sites/DesignResearchGroup","Active","24/06/2025 17:25:43","","GROUP#0","0","0","9","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","5631b6a2-83e5-4528-af4e-b67be346b58f","5631b6a2-83e5-4528-af4e-b67be346b58f",
"Dynamic-Falcons-2e5d","1033","https://m365edu669627.sharepoint.com/sites/msteams_be93a4","Active","09/07/2025 10:42:19","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","4e640fbf-bbc4-456a-ae20-0a865905053e","4e640fbf-bbc4-456a-ae20-0a865905053e",
"Dynamic-Hawks-58c3","1033","https://m365edu669627.sharepoint.com/sites/msteams_a41af4","Active","09/07/2025 10:41:39","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","7b33794d-94ab-4880-a085-a30a3f34511b","7b33794d-94ab-4880-a085-a30a3f34511b",
"Dynamic-Lions-bd01","1033","https://m365edu669627.sharepoint.com/sites/msteams_40ea93","Active","09/07/2025 10:57:18","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","e0544d80-1ead-4f62-b0ae-1ecca81b3505","e0544d80-1ead-4f62-b0ae-1ecca81b3505",
