"Title","LocaleId","Url","Status","LastContentModifiedDate","Owner","Template","ResourceUsageCurrent","ResourceUsageAverage","StorageUsageCurrentMB","ConditionalAccessPolicy","SensitivityLabel","AllowSelfServiceUpgrade","AllowEditing","SharingAllowedDomainList","SharingBlockedDomainList","DenyAddAndCustomizePages","BlockDownloadLinksFileType","DefaultLinkPermission","DefaultSharingLinkType","DisableAppViews","DisableCompanyWideSharingLinks","DisableFlows","LimitedAccessFileType","LockState","SandboxedCodeActivationCapability","SharingCapability","ShowPeoplePickerSuggestionsForGuestUsers","SharingDomainRestrictionMode","LockIssue","WebsCount","CompatibilityLevel","DisableSharingForNonOwnersStatus","HubSiteId","IsHubSite","RelatedGroupId","GroupId","ORGID"
"-0000000000000000000------------------------io","1033","https://mayfieldschoolpo2.sharepoint.com/sites/-0000000000000000000------------------------io","Active","17/08/2025 02:47:24","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExistingExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","c2a679f9-2dfb-4da8-9b08-1348626092b7","c2a679f9-2dfb-4da8-9b08-1348626092b7",
"1_Class [8514303][2021]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/1.class.8514303.2021","Active","13/08/2025 13:04:57","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","01f93c42-28cd-4b06-95d1-9226bc0cb440","01f93c42-28cd-4b06-95d1-9226bc0cb440",
"10 A Travel PSA","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ATravelPSA","Active","15/08/2025 20:46:02","","GROUP#0","0","0","1225","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","bd20668e-9ee5-42a5-8fc1-433bcf6b677e","bd20668e-9ee5-42a5-8fc1-433bcf6b677e",
"10 S Band 2021-2","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10SBand2021-2","Active","15/08/2025 20:25:18","","GROUP#0","0","0","4","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","29c2a42a-d118-43dc-9c81-4a3c253ac668","29c2a42a-d118-43dc-9c81-4a3c253ac668",
"10A Geography 22-24 (HUG)","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10A22-24HUG","Active","15/08/2025 18:15:30","","GROUP#0","0","0","88","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","15c2fdc1-cfbf-47aa-8d70-aa7bb51a4c32","15c2fdc1-cfbf-47aa-8d70-aa7bb51a4c32",
"10A History (CLM)","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10AHistoryCLM","Active","17/08/2025 19:15:21","","GROUP#0","0","0","136","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","9072879a-9702-4b92-a538-3dae256edcf1","9072879a-9702-4b92-a538-3dae256edcf1",
"10A Photography (GAD)","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10APhotographyGAD","Active","15/08/2025 19:53:16","","GROUP#0","0","0","161","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","d8701b59-2a19-4fd2-b548-64049082dfc3","d8701b59-2a19-4fd2-b548-64049082dfc3",
"10A Sports Studies Group 2","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ASportsStudiesGroup2","Active","15/08/2025 19:47:32","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","5822ce01-b52d-48ab-a623-b9b06d889562","5822ce01-b52d-48ab-a623-b9b06d889562",
"10A Sports Studies Group1","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ASportsStudiesGroup1","Active","15/08/2025 19:54:21","","GROUP#0","0","0","7","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","9df9f385-1554-4de1-8dc8-0ffef47b63f6","9df9f385-1554-4de1-8dc8-0ffef47b63f6",
"10A Travel 2022 (TTE/ADM)","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ATravel2022TTESEY","Active","17/08/2025 19:05:18","","GROUP#0","0","0","1567","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","fc7a94ae-5a32-41e9-ad7d-1a50dfc3a4f3","fc7a94ae-5a32-41e9-ad7d-1a50dfc3a4f3",
"10A Travel and Tourism","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ATravelandTourism","Active","15/08/2025 20:14:46","","GROUP#0","0","0","2","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","955b62ef-6104-452d-b523-faab1fc8bf7f","955b62ef-6104-452d-b523-faab1fc8bf7f",
"10A/Mu1","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10AMu1","Active","15/08/2025 18:08:34","","GROUP#0","0","0","2","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","f6dad972-e45a-46fd-ac48-924b5a342d09","f6dad972-e45a-46fd-ac48-924b5a342d09",
"10AAd1 (REY)","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10AAd1.8514303.2021","Active","15/08/2025 19:17:15","","GROUP#0","0","0","4","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","9df230a0-7e0f-4b83-bf3a-e71dc7cd0de5","9df230a0-7e0f-4b83-bf3a-e71dc7cd0de5",
"10AAd1_Class [8514303][2023]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10AAd1.class.8514303.2023","Active","13/08/2025 12:57:40","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","37bac1c2-e8ec-4134-8cd3-5d3eb2b648f1","37bac1c2-e8ec-4134-8cd3-5d3eb2b648f1",
"10ABf1 [8514303][2021]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ABf1.8514303.2021","Active","15/08/2025 19:21:45","","GROUP#0","0","0","4","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","90803195-e7ae-4099-89af-60efb8470c25","90803195-e7ae-4099-89af-60efb8470c25",
"10ABf1_Class [8514303][2023]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ABf1.class.8514303.2023","Active","13/08/2025 13:04:57","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","46c5b9b0-7b80-48d3-b555-f0ea438e40ea","46c5b9b0-7b80-48d3-b555-f0ea438e40ea",
"10ACs1_Class [8514303][2023]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ACs1.class.8514303.2023","Active","13/08/2025 12:51:09","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","6d45efe7-20e0-4ac7-a8fa-580624bcb1a9","6d45efe7-20e0-4ac7-a8fa-580624bcb1a9",
"10ACz_Class [8514303][2023]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ACz.class.8514303.2023","Active","13/08/2025 12:59:24","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","8234f8d8-09e3-4e46-b8b3-83d9a51e78aa","8234f8d8-09e3-4e46-b8b3-83d9a51e78aa",
