"DisplayName","AccessType","PrimarySmtpAddress","GroupID","SharePointSiteURL"
"1_Class [8514303][2021]","Private","1.class.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/1.class.8514303.2021"
"10 A Travel PSA","Private","10ATravelPSA@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ATravelPSA"
"10 S Band 2021-2","Private","10SBand2021-2@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10SBand2021-2"
"10A Geography 22-24 (HUG)","Private","10A22-24HUG@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10A22-24HUG"
"10A Travel 2022 (TTE/ADM)","Private","10ATravel2022TTESEY@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ATravel2022TTESEY"
"10A Travel and Tourism","Private","10ATravelandTourism@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ATravelandTourism"
"10A/Mu1","Private","10AMu1@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10AMu1"
"10AAd1 (REY)","Private","10AAd1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10AAd1.8514303.2021"
"10AAd1_Class [8514303][2023]","Private","10AAd1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10AAd1.class.8514303.2023"
"10ABf1 (BAT)","Private","10ABf1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ABf1.8514303.2021"
"10ABf1_Class [8514303][2023]","Private","10ABf1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ABf1.class.8514303.2023"
"10ACs1_Class [8514303][2023]","Private","10ACs1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ACs1.class.8514303.2023"
"10ACz_Class [8514303][2023]","Private","10ACz.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ACz.class.8514303.2023"
"10ADr1_Class [8514303][2023]","Private","10ADr1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ADr1.class.8514303.2023"
"10AGe1_Class [8514303][2022]","Private","10AGe1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10AGe1.class.8514303.2022"
"10AGe1_Class [8514303][2024]","Private","10AGe1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10AGe1.class.8514303.2024"
"10AHi1 (JON)","Private","10AHi1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10AHi1.8514303.2021"
"10AHi1_Class [8514303][2022]","Private","10AHi1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10AHi1.class.8514303.2022"
"10AHi1_Class [8514303][2023]","Private","10AHi1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10AHi1.class.8514303.2023"
"10AHi1_Class [8514303][2024]","Private","10AHi1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10AHi1.class.8514303.2024"
"10AIm1_Class [8514303][2022]","Private","10AIm1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10AIm1.class.8514303.2022"
"10AIm1_Class [8514303][2023]","Private","10AIm1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10AIm1.class.8514303.2023"
"10AIt1 (CLA)","Private","10AIt1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10AIt1.8514303.2021"
"10AMu1_Class [8514303][2024]","Private","10AMu1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10AMu1.class.8514303.2024"
"10APh1_Class [8514303][2022]","Private","10APh1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10APh1.class.8514303.2022"
"10APh1_Class [8514303][2023]","Private","10APh1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10APh1.class.8514303.2023"
"10APh1_Class [8514303][2024]","Private","10APh1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10APh1.class.8514303.2024"
"10APh2_Class [8514303][2024]","Private","10APh2.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10APh2.class.8514303.2024"
"10APl_Class [8514303][2021]","Private","10APl.class.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10APl.class.8514303.2021"
"10APl_Class [8514303][2022]","Private","10APl.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10APl.class.8514303.2022"
"10ASp1 (PAG)","Private","10ASp1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ASp1.8514303.2021"
"10ASp1_Class [8514303][2022]","Private","10ASp1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ASp1.class.8514303.2022"
"10ASp1_Class [8514303][2024]","Private","10ASp1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ASp1.class.8514303.2024"
