"GroupId","DisplayName","Description","Visibility","MailNickName","Classification","Archived","Channels"
"2965ac30-ba43-40ae-9d62-e960d80c9483","4th Grade","Welcome to 4th Grade!","HiddenMembership","4thGrade",,"False","1"
"8e4297e0-bba5-4403-baa3-e09dc9361c55","Algebra","Welcome to Algebra!","HiddenMembership","Algebra",,"False","6"
"35a10064-901f-461b-b7b5-fd1a067686a0","Brave-Bears-5e6f","Auto-generated team: Brave-Bears-5e6f","Private","msteams_3d47ec",,"False","5"
"71e441a6-cebc-4623-a15b-4f97965e2867","Brave-Dragons-846f","Auto-generated team: Brave-Dragons-846f","Private","msteams_7e0e23",,"False","6"
"5631b6a2-83e5-4528-af4e-b67be346b58f","Design Research Group","Design Research Group","Private","DesignResearchGroup",,"False","1"
"4e640fbf-bbc4-456a-ae20-0a865905053e","Dynamic-Falcons-2e5d","Auto-generated team: Dynamic-Falcons-2e5d","Private","msteams_be93a4",,"False","4"
"7b33794d-94ab-4880-a085-a30a3f34511b","Dynamic-Hawks-58c3","Auto-generated team: Dynamic-Hawks-58c3","Private","msteams_a41af4",,"False","5"
"e0544d80-1ead-4f62-b0ae-1ecca81b3505","Dynamic-Lions-bd01","Auto-generated team: Dynamic-Lions-bd01","Private","msteams_40ea93",,"False","5"
"2243108e-5933-4049-90ac-a638535ca609","Dynamic-Sharks-2a33","Auto-generated team: Dynamic-Sharks-2a33","Private","msteams_e3cfc6",,"False","5"
"12b0daac-13d6-4caa-973c-987463fb555d","Engineering 101","Engineering 101","HiddenMembership","Engineering101",,"False","11"
"5e9e4355-2dc5-424e-b0ee-a3554a8c89c4","Epic-Dragons-829a","Auto-generated team: Epic-Dragons-829a","Private","msteams_525515",,"False","6"
"396f5074-7a2e-423c-96cb-d267426feef0","Fierce-Falcons-113c","Auto-generated team: Fierce-Falcons-113c","Private","msteams_dac5e8",,"False","6"
"116cef30-89a8-4615-bd13-7c752559d3fd","Fierce-Falcons-de05","Auto-generated team: Fierce-Falcons-de05","Private","msteams_d97549",,"False","4"
"de18259c-a3e3-4c84-9907-2b937a553a61","Fierce-Tigers-0650","Auto-generated team: Fierce-Tigers-0650","Private","msteams_48ca7a",,"False","4"
"af40e9ec-20ce-4688-95f5-84378dbff93d","Gentle-Dragons-822a","Auto-generated team: Gentle-Dragons-822a","Private","msteams_0fde10",,"False","3"
"c857d3de-fb10-4813-98cf-84b39bb89673","Gentle-Hawks-cb25","Auto-generated team: Gentle-Hawks-cb25","Private","msteams_cd24f2",,"False","3"
"b1514e70-da95-4849-b9d2-7119c64d001c","Gentle-Panthers-b866","Auto-generated team: Gentle-Panthers-b866","Private","msteams_e6a2fb",,"False","4"
"a8f2ae23-d38f-46bd-a12f-e3ec015c03f5","Health Research","Health Research","Private","HealthResearch",,"False","5"
"4a3fcc61-a6ac-4282-b810-999d86e6afcb","Jolly-Dragons-7fcf","Auto-generated team: Jolly-Dragons-7fcf","Private","msteams_5befbb",,"False","3"
"bde33106-8f73-4b0e-9955-d00f5beaa97f","Jolly-Eagles-db34","Auto-generated team: Jolly-Eagles-db34","Private","msteams_eda64e",,"False","3"
"18acd987-fe52-49f8-8054-35588eb6375c","Jolly-Hawks-6652","Auto-generated team: Jolly-Hawks-6652","Private","msteams_7def7f",,"False","5"
"3b62dab7-ce69-44f2-82d8-e711d3e6cc38","Jolly-Panthers-7075","Auto-generated team: Jolly-Panthers-7075","Private","msteams_55bf92",,"False","1"
"23ff0c73-9ba3-4f56-9993-2de2f8e5b3f1","Language Arts","Language Arts","HiddenMembership","LanguageArts",,"False","6"
"ab17bdd1-b8d0-4e54-b185-07485c7fb98e","Physical Science","Welcome to Physical Science!","HiddenMembership","PhysicalScience",,"False","6"
"909a3b5b-8b75-461a-be94-11e9f2ad9262","Pineview School Staff","Pineview School Staff","Private","PineviewSchoolStaff",,"False","5"
"57cf94e8-b005-42a4-8799-209c53018dc5","Primary K-3","PrimaryK - 3","HiddenMembership","PrimaryK-3",,"False","11"
"dfe724a4-3e96-4a90-b284-807483e19d7c","Science Department (PLC)","Welcome to Science Department (PLC)!","Private","ScienceDepartmentPLC",,"False","4"
"21a40c8c-d7c4-4368-a20c-1d739d19a71b","Women in Computer Science","Women in Computer Science","Private","WomeninComputerScience",,"False","5"
